ANNEE;SEX;TR_AG3;ACHA_3MOIS;ACHA_12MOIS;COMPTE_BANCAIRE
2009;1_HOMME;1_TR_AGE_15-44;40.5;56.4;51.9
2009;1_HOMME;2_TR_AGE_45-59;28.8;40.4;42.2
2009;1_HOMME;3_TR_AGE_60;12.6;16.4;19.5
2009;1_HOMME;ENSEMBLE;30.4;42.0;41.0
2009;2_FEMME;1_TR_AGE_15-44;41.7;55.1;48.3
2009;2_FEMME;2_TR_AGE_45-59;26.8;38.1;44.2
2009;2_FEMME;3_TR_AGE_60;6.5;8.5;13.4
2009;2_FEMME;ENSEMBLE;27.4;36.8;36.6
2009;ENSEMBLE;1_TR_AGE_15-44;41.1;55.7;50.1
2009;ENSEMBLE;2_TR_AGE_45-59;27.8;39.2;43.2
2009;ENSEMBLE;3_TR_AGE_60;9.2;12.0;16.1
2009;ENSEMBLE;ENSEMBLE;28.8;39.3;38.7
2010;1_HOMME;1_TR_AGE_15-44;53.0;69.5;60.8
2010;1_HOMME;2_TR_AGE_45-59;39.5;53.9;51.4
2010;1_HOMME;3_TR_AGE_60;14.3;18.8;20.5
2010;1_HOMME;ENSEMBLE;39.0;51.7;47.5
2010;2_FEMME;1_TR_AGE_15-44;51.0;67.4;61.0
2010;2_FEMME;2_TR_AGE_45-59;33.5;49.1;45.9
2010;2_FEMME;3_TR_AGE_60;6.8;10.5;13.2
2010;2_FEMME;ENSEMBLE;32.8;45.0;42.2
2010;ENSEMBLE;1_TR_AGE_15-44;52.0;68.4;60.9
2010;ENSEMBLE;2_TR_AGE_45-59;36.5;51.5;48.6
2010;ENSEMBLE;3_TR_AGE_60;10.1;14.2;16.4
2010;ENSEMBLE;ENSEMBLE;35.8;48.2;44.7
2011;1_HOMME;1_TR_AGE_15-44;49.4;67.8;59.7
2011;1_HOMME;2_TR_AGE_45-59;36.9;47.2;45.6
2011;1_HOMME;3_TR_AGE_60;19.3;25.6;29.3
2011;1_HOMME;ENSEMBLE;38.2;51.4;48.1
2011;2_FEMME;1_TR_AGE_15-44;49.2;65.3;60.1
2011;2_FEMME;2_TR_AGE_45-59;36.8;48.5;49.5
2011;2_FEMME;3_TR_AGE_60;9.0;11.9;16.3
2011;2_FEMME;ENSEMBLE;33.8;44.7;44.0
2011;ENSEMBLE;1_TR_AGE_15-44;49.3;66.6;59.9
2011;ENSEMBLE;2_TR_AGE_45-59;36.9;47.8;47.6
2011;ENSEMBLE;3_TR_AGE_60;13.6;17.9;22.0
2011;ENSEMBLE;ENSEMBLE;35.9;47.9;45.9
2012;1_HOMME;1_TR_AGE_15-44;50.6;68.4;61.2
2012;1_HOMME;2_TR_AGE_45-59;42.4;56.0;53.6
2012;1_HOMME;3_TR_AGE_60;21.4;28.1;30.7
2012;1_HOMME;ENSEMBLE;40.4;54.1;50.8
