ANNEE;CS_AGREGE;ACHA_3MOIS;ACHA_12MOIS;COMPTE_BANCAIRE
2009;ACTIFS;39.5;53.0;53.3
2009;CS_1_2;29.5;37.6;46.8
2009;CS_3;62.6;80.2;74.0
2009;CS_4;44.6;63.6;64.3
2009;CS_5;35.7;46.7;50.1
2009;CS_6;27.3;37.8;33.9
2010;ACTIFS;48.5;64.0;59.9
2010;CS_1_2;43.9;58.1;55.3
2010;CS_3;71.6;88.9;78.9
2010;CS_4;59.1;76.5;73.3
2010;CS_5;39.4;54.7;52.3
2010;CS_6;32.4;45.5;45.1
2011;ACTIFS;48.2;63.2;61.8
2011;CS_1_2;36.1;49.8;57.1
2011;CS_3;74.3;86.6;81.3
2011;CS_4;55.3;73.6;71.8
2011;CS_5;43.2;58.2;57.7
2011;CS_6;31.3;45.3;42.8
2012;ACTIFS;51.7;67.5;65.5
2012;CS_1_2;40.6;53.4;58.0
2012;CS_3;74.2;87.0;84.6
2012;CS_4;62.6;80.7;75.9
2012;CS_5;42.2;59.7;58.4
2012;CS_6;38.1;53.0;50.1
2013;ACTIFS;54.1;69.4;68.8
2013;CS_1_2;43.4;55.3;64.4
2013;CS_3;76.8;89.2;84.2
2013;CS_4;63.1;81.1;80.2
2013;CS_5;46.0;62.2;62.0
2013;CS_6;39.8;54.4;53.2
2014;ACTIFS;59.4;73.6;68.4
2014;CS_1_2;50.5;64.5;65.3
2014;CS_3;79.7;90.1;84.1
2014;CS_4;70.5;84.9;76.9
2014;CS_5;52.9;67.0;64.1
2014;CS_6;40.3;58.1;50.9
2015;ACTIFS;59.3;74.7;69.1
2015;CS_1_2;54.3;66.3;63.9
2015;CS_3;79.0;92.1;83.2
2015;CS_4;67.0;83.9;77.9
2015;CS_5;53.5;70.2;64.3
2015;CS_6;42.6;58.2;54.8
2016;ACTIFS;61.3;75.6;69.7
2016;CS_1_2;53.5;66.4;67.9
2016;CS_3;81.6;92.3;86.7
2016;CS_4;68.9;82.9;76.5
2016;CS_5;55.0;71.1;63.9
2016;CS_6;46.6;62.5;55.3
2017;ACTIFS;65.7;78.5;73.3
2017;CS_1_2;59.1;70.7;67.9
2017;CS_3;80.7;90.9;85.7
2017;CS_4;73.4;87.4;81.2
2017;CS_5;64.1;75.1;71.9
2017;CS_6;47.6;64.5;57.3
2018;ACTIFS;64.6;77.2;72.1
2018;CS_1_2;55.7;69.5;70.7
2018;CS_3;80.9;91.9;85.5
2018;CS_4;71.4;84.2;79.2
2018;CS_5;61.3;73.3;68.0
2018;CS_6;50.0;64.2;57.2
2019;ACTIFS;67.4;79.9;74.8
2019;CS_1_2;65.9;76.2;69.3
2019;CS_3;84.1;93.1;88.4
2019;CS_4;75.5;88.2;80.5
2019;CS_5;60.8;75.6;70.8
2019;CS_6;51.8;65.0;62.5
