ANNEE;TR_AG5;ACHA_3MOIS;ACHA_12MOIS;COMPTE_BANCAIRE
2009;1_TR_AGE_15-29;37.8;55.8;44.6
2009;2_TR_AGE_30-44;43.5;55.7;54.1
2009;3_TR_AGE_45-59;27.8;39.2;43.2
2009;4_TR_AGE_60-74;13.5;17.6;22.4
2009;5_TR_AGE_75;1.2;1.7;4.4
2009;ENSEMBLE;28.8;39.3;38.7
2010;1_TR_AGE_15-29;49.9;69.6;58.1
2010;2_TR_AGE_30-44;53.7;67.4;63.2
2010;3_TR_AGE_45-59;36.5;51.5;48.6
2010;4_TR_AGE_60-74;15.5;21.6;24.6
2010;5_TR_AGE_75;1.3;2.2;3.3
2010;ENSEMBLE;35.8;48.2;44.7
2011;1_TR_AGE_15-29;45.1;65.0;54.8
2011;2_TR_AGE_30-44;52.6;67.7;63.9
2011;3_TR_AGE_45-59;36.9;47.8;47.6
2011;4_TR_AGE_60-74;19.1;25.1;30.2
2011;5_TR_AGE_75;3.5;4.9;7.2
2011;ENSEMBLE;35.9;47.9;45.9
2012;1_TR_AGE_15-29;48.6;69.7;55.4
2012;2_TR_AGE_30-44;51.5;67.7;65.1
2012;3_TR_AGE_45-59;41.3;54.9;54.0
2012;4_TR_AGE_60-74;23.1;30.7;33.8
2012;5_TR_AGE_75;4.6;6.3;9.0
2012;ENSEMBLE;38.0;51.4;48.5
2013;1_TR_AGE_15-29;48.3;67.8;57.9
2013;2_TR_AGE_30-44;57.4;72.8;70.6
2013;3_TR_AGE_45-59;42.6;55.6;56.7
2013;4_TR_AGE_60-74;23.4;32.4;35.4
2013;5_TR_AGE_75;4.3;6.3;8.6
2013;ENSEMBLE;39.8;52.8;51.3
2014;1_TR_AGE_15-29;53.3;72.4;55.9
2014;2_TR_AGE_30-44;62.9;76.5;69.2
2014;3_TR_AGE_45-59;45.4;57.2;56.3
2014;4_TR_AGE_60-74;28.8;38.1;40.8
2014;5_TR_AGE_75;5.4;7.8;12.3
2014;ENSEMBLE;43.9;56.2;51.8
2015;1_TR_AGE_15-29;57.2;76.5;60.6
2015;2_TR_AGE_30-44;60.8;76.5;68.7
2015;3_TR_AGE_45-59;49.6;64.2;58.6
2015;4_TR_AGE_60-74;27.2;38.1;39.9
2015;5_TR_AGE_75;5.4;8.6;11.2
2015;ENSEMBLE;44.6;58.4;52.6
2016;1_TR_AGE_15-29;60.4;76.3;57.3
2016;2_TR_AGE_30-44;64.7;79.4;71.8
2016;3_TR_AGE_45-59;50.0;62.9;59.2
2016;4_TR_AGE_60-74;30.6;41.0;42.6
2016;5_TR_AGE_75;7.4;9.5;13.1
2016;ENSEMBLE;47.1;59.4;53.6
2017;1_TR_AGE_15-29;63.3;78.6;63.0
2017;2_TR_AGE_30-44;67.2;79.5;73.4
2017;3_TR_AGE_45-59;52.6;66.4;61.9
2017;4_TR_AGE_60-74;30.6;40.2;44.0
2017;5_TR_AGE_75;8.1;12.1;16.5
2017;ENSEMBLE;48.9;60.7;56.4
2018;1_TR_AGE_15-29;64.6;75.4;64.0
2018;2_TR_AGE_30-44;67.6;80.5;74.2
2018;3_TR_AGE_45-59;53.5;66.8;63.3
2018;4_TR_AGE_60-74;33.4;43.4;47.1
2018;5_TR_AGE_75;8.9;12.1;15.8
2018;ENSEMBLE;50.0;60.9;57.5
2019;1_TR_AGE_15-29;65.7;82.7;63.1
2019;2_TR_AGE_30-44;70.4;81.3;76.3
2019;3_TR_AGE_45-59;57.3;69.2;66.0
2019;4_TR_AGE_60-74;36.1;46.8;50.2
2019;5_TR_AGE_75;10.2;14.5;19.5
2019;ENSEMBLE;52.5;64.1;59.6
