ANNEE;DIPLOME_4CATEG;ACHA_3MOIS;ACHA_12MOIS;COMPTE_BANCAIRE
2009;1_CEP_AUCUN;9.1;13.1;12.9
2009;2_BEP_CAP_BEPC;22.8;33.6;35.3
2009;3_BAC;40.0;55.1;53.7
2009;4_ETUDE_SUP;57.5;73.2;69.2
2009;ENSEMBLE;28.8;39.3;38.7
2010;1_CEP_AUCUN;8.1;13.5;14.5
2010;2_BEP_CAP_BEPC;32.4;47.8;42.0
2010;3_BAC;51.0;66.6;64.2
2010;4_ETUDE_SUP;66.6;82.0;74.8
2010;ENSEMBLE;35.8;48.2;44.7
2011;1_CEP_AUCUN;11.5;16.5;17.4
2011;2_BEP_CAP_BEPC;31.9;45.1;41.2
2011;3_BAC;46.8;65.1;64.4
2011;4_ETUDE_SUP;65.2;79.9;75.8
2011;ENSEMBLE;35.9;47.9;45.9
2012;1_CEP_AUCUN;14.0;21.3;19.2
2012;2_BEP_CAP_BEPC;33.4;48.7;44.1
2012;3_BAC;50.6;67.8;66.8
2012;4_ETUDE_SUP;65.8;81.5;78.5
2012;ENSEMBLE;38.0;51.4;48.5
2013;1_CEP_AUCUN;13.8;20.4;22.1
2013;2_BEP_CAP_BEPC;34.7;49.0;46.2
2013;3_BAC;53.1;70.6;70.6
2013;4_ETUDE_SUP;67.1;82.6;77.9
2013;ENSEMBLE;39.8;52.8;51.3
2014;1_CEP_AUCUN;15.2;22.0;21.2
2014;2_BEP_CAP_BEPC;39.2;52.9;46.6
2014;3_BAC;54.6;71.8;67.2
2014;4_ETUDE_SUP;72.8;85.5;79.8
2014;ENSEMBLE;43.9;56.2;51.8
2015;1_CEP_AUCUN;17.1;25.8;23.6
2015;2_BEP_CAP_BEPC;40.2;54.7;46.6
2015;3_BAC;55.6;73.0;67.2
2015;4_ETUDE_SUP;68.7;84.3;77.8
2015;ENSEMBLE;44.6;58.4;52.6
2016;1_CEP_AUCUN;16.7;23.7;21.1
2016;2_BEP_CAP_BEPC;42.3;56.2;47.6
2016;3_BAC;59.3;75.7;69.2
2016;4_ETUDE_SUP;72.6;84.9;80.0
2016;ENSEMBLE;47.1;59.4;53.6
2017;1_CEP_AUCUN;18.5;26.1;25.0
2017;2_BEP_CAP_BEPC;42.9;56.1;49.7
2017;3_BAC;64.6;77.5;72.0
2017;4_ETUDE_SUP;71.9;85.0;80.9
2017;ENSEMBLE;48.9;60.7;56.4
2018;1_CEP_AUCUN;20.2;27.5;27.1
2018;2_BEP_CAP_BEPC;43.2;55.4;51.1
2018;3_BAC;63.2;76.1;72.0
2018;4_ETUDE_SUP;74.1;85.2;80.9
2018;ENSEMBLE;50.0;60.9;57.5
2019;1_CEP_AUCUN;22.4;28.2;29.9
2019;2_BEP_CAP_BEPC;46.2;60.4;51.7
2019;3_BAC;64.5;78.7;74.6
2019;4_ETUDE_SUP;75.1;86.7;81.5
2019;ENSEMBLE;52.5;64.1;59.6
