ANNEE1;TAU_AGREGE;ACHA_3MOIS;ACHA_12MOIS;COMPTE_BANCAIRE
2010;1_HORS_AU;25.4;35.5;34.4
2010;2_AU_PETITE;27.7;36.3;36.2
2010;3_AU_MOYENNE;30.8;42.8;41.9
2010;4_AU_GRANDE;39.6;52.2;47.9
2010;5_AU_PARIS;46.2;63.0;54.8
2010;ENSEMBLE;35.8;48.2;44.7
2011;1_HORS_AU;32.1;42.3;40.1
2011;2_AU_PETITE;30.6;39.4;36.3
2011;3_AU_MOYENNE;32.5;43.9;41.8
2011;4_AU_GRANDE;38.0;51.3;49.5
2011;5_AU_PARIS;41.2;54.5;53.3
2011;ENSEMBLE;35.9;47.9;45.9
2012;1_HORS_AU;33.5;46.0;43.8
2012;2_AU_PETITE;30.8;42.9;40.4
2012;3_AU_MOYENNE;33.5;45.6;44.7
2012;4_AU_GRANDE;40.3;53.9;51.3
2012;5_AU_PARIS;45.0;60.2;54.2
2012;ENSEMBLE;38.0;51.4;48.5
2013;1_HORS_AU;34.4;46.5;48.6
2013;2_AU_PETITE;31.2;44.2;45.0
2013;3_AU_MOYENNE;34.7;45.7;46.8
2013;4_AU_GRANDE;40.9;54.7;52.6
2013;5_AU_PARIS;51.3;64.9;58.3
2013;ENSEMBLE;39.8;52.8;51.3
2014;1_HORS_AU;39.3;50.1;46.0
2014;2_AU_PETITE;36.5;50.8;45.5
2014;3_AU_MOYENNE;37.9;50.4;48.6
2014;4_AU_GRANDE;46.1;59.2;55.0
2014;5_AU_PARIS;52.8;62.8;56.5
2014;ENSEMBLE;43.9;56.2;51.8
2015;1_HORS_AU;40.3;53.3;48.0
2015;2_AU_PETITE;39.3;52.3;49.0
2015;3_AU_MOYENNE;40.5;53.7;48.4
2015;4_AU_GRANDE;46.2;60.5;55.3
2015;5_AU_PARIS;51.5;65.8;56.6
2015;ENSEMBLE;44.6;58.4;52.6
2016;1_HORS_AU;44.0;56.3;49.4
2016;2_AU_PETITE;44.0;57.0;50.4
2016;3_AU_MOYENNE;39.6;52.1;48.1
2016;4_AU_GRANDE;49.4;61.6;56.4
2016;5_AU_PARIS;53.2;64.8;57.7
2016;ENSEMBLE;47.1;59.4;53.6
2017;1_HORS_AU;44.8;55.9;51.7
2017;2_AU_PETITE;43.6;52.6;48.3
2017;3_AU_MOYENNE;43.5;55.3;52.9
2017;4_AU_GRANDE;51.8;63.6;59.3
2017;5_AU_PARIS;53.9;68.0;61.5
2017;ENSEMBLE;48.9;60.7;56.4
2018;1_HORS_AU;47.2;57.5;55.0
2018;2_AU_PETITE;47.1;56.6;54.4
2018;3_AU_MOYENNE;42.9;56.0;55.9
2018;4_AU_GRANDE;52.1;63.1;58.8
2018;5_AU_PARIS;55.5;65.7;60.1
2018;ENSEMBLE;50.0;60.9;57.5
2019;1_HORS_AU;47.1;59.1;55.3
2019;2_AU_PETITE;46.7;59.1;54.5
2019;3_AU_MOYENNE;48.2;59.0;56.1
2019;4_AU_GRANDE;55.1;67.2;62.6
2019;5_AU_PARIS;58.3;68.4;62.5
2019;ENSEMBLE;52.5;64.1;59.6
