ANNEE1;TUU_AGREGE;ACHA_3MOIS;ACHA_12MOIS;COMPTE_BANCAIRE
2010;1_RURAL;31.7;43.0;39.4
2010;2_PETITE_COM;29.3;39.5;39.6
2010;3_MOYENNE_COM;30.6;43.6;43.0
2010;4_GRANDE_COM;41.9;54.8;49.5
2010;5_AGGLO_PARIS;46.8;63.1;54.6
2010;ENSEMBLE;35.8;48.2;44.7
2011;1_RURAL;34.5;46.1;43.7
2011;2_PETITE_COM;32.4;44.0;40.7
2011;3_MOYENNE_COM;33.6;44.7;41.2
2011;4_GRANDE_COM;38.6;51.0;51.2
2011;5_AGGLO_PARIS;41.0;54.2;52.9
2011;ENSEMBLE;35.9;47.9;45.9
2012;1_RURAL;34.5;48.6;46.1
2012;2_PETITE_COM;35.2;47.2;45.0
2012;3_MOYENNE_COM;33.6;47.0;43.5
2012;4_GRANDE_COM;41.3;54.2;52.2
2012;5_AGGLO_PARIS;45.6;60.9;55.4
2012;ENSEMBLE;38.0;51.4;48.5
2013;1_RURAL;39.6;51.2;50.8
2013;2_PETITE_COM;34.7;48.2;49.2
2013;3_MOYENNE_COM;33.6;45.9;46.9
2013;4_GRANDE_COM;40.4;54.3;52.0
2013;5_AGGLO_PARIS;51.5;64.7;57.5
2013;ENSEMBLE;39.8;52.8;51.3
2014;1_RURAL;42.5;55.4;53.4
2014;2_PETITE_COM;41.5;53.7;48.8
2014;3_MOYENNE_COM;36.9;50.7;48.6
2014;4_GRANDE_COM;45.8;57.9;52.2
2014;5_AGGLO_PARIS;52.3;62.5;55.7
2014;ENSEMBLE;43.9;56.2;51.8
2015;1_RURAL;43.9;57.9;52.8
2015;2_PETITE_COM;43.2;56.6;51.2
2015;3_MOYENNE_COM;40.1;53.0;48.4
2015;4_GRANDE_COM;45.0;59.6;54.2
2015;5_AGGLO_PARIS;50.8;64.6;55.3
2015;ENSEMBLE;44.6;58.4;52.6
2016;1_RURAL;47.9;60.2;52.9
2016;2_PETITE_COM;44.4;57.2;51.0
2016;3_MOYENNE_COM;39.4;52.8;49.5
2016;4_GRANDE_COM;49.3;60.8;56.3
2016;5_AGGLO_PARIS;53.1;64.7;57.8
2016;ENSEMBLE;47.1;59.4;53.6
2017;1_RURAL;48.6;59.0;55.3
2017;2_PETITE_COM;47.0;58.3;54.2
2017;3_MOYENNE_COM;43.1;55.9;51.9
2017;4_GRANDE_COM;51.5;63.2;58.5
2017;5_AGGLO_PARIS;53.4;67.1;61.6
2017;ENSEMBLE;48.9;60.7;56.4
2018;1_RURAL;49.9;62.1;59.6
2018;2_PETITE_COM;46.4;55.9;54.1
2018;3_MOYENNE_COM;45.6;56.9;55.9
2018;4_GRANDE_COM;51.8;62.7;57.9
2018;5_AGGLO_PARIS;56.4;66.8;60.2
2018;ENSEMBLE;50.0;60.9;57.5
2019;1_RURAL;50.8;61.3;57.4
2019;2_PETITE_COM;51.0;63.2;58.0
2019;3_MOYENNE_COM;47.4;60.3;56.9
2019;4_GRANDE_COM;54.5;66.3;62.7
2019;5_AGGLO_PARIS;58.5;68.9;62.4
2019;ENSEMBLE;52.5;64.1;59.6
