ANNEE;TR_AG5;EGOV_12MOIS
2009;1_TR_AGE_15-29;50.2
2009;2_TR_AGE_30-44;57.7
2009;3_TR_AGE_45-59;49.3
2009;4_TR_AGE_60-74;23.2
2009;5_TR_AGE_75;4.1
2009;ENSEMBLE;42.4
2010;1_TR_AGE_15-29;67.8
2010;2_TR_AGE_30-44;70.1
2010;3_TR_AGE_45-59;56.2
2010;4_TR_AGE_60-74;26.5
2010;5_TR_AGE_75;4.1
2010;ENSEMBLE;50.8
2011;1_TR_AGE_15-29;58.9
2011;2_TR_AGE_30-44;71.9
2011;3_TR_AGE_45-59;56.3
2011;4_TR_AGE_60-74;32.4
2011;5_TR_AGE_75;5.9
2011;ENSEMBLE;51.2
2012;1_TR_AGE_15-29;63.9
2012;2_TR_AGE_30-44;74.8
2012;3_TR_AGE_45-59;62.3
2012;4_TR_AGE_60-74;36.7
2012;5_TR_AGE_75;8.2
2012;ENSEMBLE;55.2
2013;1_TR_AGE_15-29;64.6
2013;2_TR_AGE_30-44;73.9
2013;3_TR_AGE_45-59;60.0
2013;4_TR_AGE_60-74;36.0
2013;5_TR_AGE_75;7.6
2013;ENSEMBLE;54.3
2014;1_TR_AGE_15-29;67.3
2014;2_TR_AGE_30-44;77.4
2014;3_TR_AGE_45-59;62.6
2014;4_TR_AGE_60-74;41.3
2014;5_TR_AGE_75;10.5
2014;ENSEMBLE;57.6
2015;1_TR_AGE_15-29;67.5
2015;2_TR_AGE_30-44;76.6
2015;3_TR_AGE_45-59;63.0
2015;4_TR_AGE_60-74;38.6
2015;5_TR_AGE_75;9.9
2015;ENSEMBLE;56.6
2016;1_TR_AGE_15-29;66.0
2016;2_TR_AGE_30-44;82.3
2016;3_TR_AGE_45-59;65.7
2016;4_TR_AGE_60-74;42.6
2016;5_TR_AGE_75;12.4
2016;ENSEMBLE;59.4
2017;1_TR_AGE_15-29;68.4
2017;2_TR_AGE_30-44;81.2
2017;3_TR_AGE_45-59;70.0
2017;4_TR_AGE_60-74;45.5
2017;5_TR_AGE_75;15.3
2017;ENSEMBLE;61.4
2018;1_TR_AGE_15-29;71.8
2018;2_TR_AGE_30-44;82.7
2018;3_TR_AGE_45-59;73.2
2018;4_TR_AGE_60-74;51.8
2018;5_TR_AGE_75;17.4
2018;ENSEMBLE;64.6
2019;1_TR_AGE_15-29;70.3
2019;2_TR_AGE_30-44;85.8
2019;3_TR_AGE_45-59;78.2
2019;4_TR_AGE_60-74;57.7
2019;5_TR_AGE_75;20.5
2019;ENSEMBLE;67.9
