ANNEE;DIPLOME_4CATEG;EGOV_12MOIS
2009;1_CEP_AUCUN;12.5
2009;2_BEP_CAP_BEPC;39.8
2009;3_BAC;59.2
2009;4_ETUDE_SUP;76.1
2009;ENSEMBLE;42.4
2010;1_CEP_AUCUN;18.0
2010;2_BEP_CAP_BEPC;46.8
2010;3_BAC;72.5
2010;4_ETUDE_SUP;84.6
2010;ENSEMBLE;50.8
2011;1_CEP_AUCUN;20.4
2011;2_BEP_CAP_BEPC;49.2
2011;3_BAC;68.3
2011;4_ETUDE_SUP;81.2
2011;ENSEMBLE;51.2
2012;1_CEP_AUCUN;24.8
2012;2_BEP_CAP_BEPC;51.5
2012;3_BAC;74.4
2012;4_ETUDE_SUP;84.8
2012;ENSEMBLE;55.2
2013;1_CEP_AUCUN;25.4
2013;2_BEP_CAP_BEPC;50.1
2013;3_BAC;70.8
2013;4_ETUDE_SUP;81.5
2013;ENSEMBLE;54.3
2014;1_CEP_AUCUN;22.8
2014;2_BEP_CAP_BEPC;55.5
2014;3_BAC;73.8
2014;4_ETUDE_SUP;85.7
2014;ENSEMBLE;57.6
2015;1_CEP_AUCUN;25.9
2015;2_BEP_CAP_BEPC;50.2
2015;3_BAC;72.2
2015;4_ETUDE_SUP;83.3
2015;ENSEMBLE;56.6
2016;1_CEP_AUCUN;27.7
2016;2_BEP_CAP_BEPC;52.6
2016;3_BAC;76.3
2016;4_ETUDE_SUP;85.0
2016;ENSEMBLE;59.4
2017;1_CEP_AUCUN;27.1
2017;2_BEP_CAP_BEPC;55.5
2017;3_BAC;78.5
2017;4_ETUDE_SUP;87.0
2017;ENSEMBLE;61.4
2018;1_CEP_AUCUN;33.5
2018;2_BEP_CAP_BEPC;59.9
2018;3_BAC;78.2
2018;4_ETUDE_SUP;87.3
2018;ENSEMBLE;64.6
2019;1_CEP_AUCUN;36.7
2019;2_BEP_CAP_BEPC;62.8
2019;3_BAC;81.7
2019;4_ETUDE_SUP;88.9
2019;ENSEMBLE;67.9
