ANNEE1;TUU_AGREGE;EGOV_12MOIS
2010;1_RURAL;43.8
2010;2_PETITE_COM;45.3
2010;3_MOYENNE_COM;49.0
2010;4_GRANDE_COM;56.1
2010;5_AGGLO_PARIS;62.8
2010;ENSEMBLE;50.8
2011;1_RURAL;47.9
2011;2_PETITE_COM;45.5
2011;3_MOYENNE_COM;48.2
2011;4_GRANDE_COM;56.4
2011;5_AGGLO_PARIS;59.0
2011;ENSEMBLE;51.2
2012;1_RURAL;50.5
2012;2_PETITE_COM;51.5
2012;3_MOYENNE_COM;52.0
2012;4_GRANDE_COM;59.0
2012;5_AGGLO_PARIS;63.9
2012;ENSEMBLE;55.2
2013;1_RURAL;51.8
2013;2_PETITE_COM;50.0
2013;3_MOYENNE_COM;49.4
2013;4_GRANDE_COM;57.4
2013;5_AGGLO_PARIS;63.1
2013;ENSEMBLE;54.3
2014;1_RURAL;56.3
2014;2_PETITE_COM;52.3
2014;3_MOYENNE_COM;52.6
2014;4_GRANDE_COM;59.6
2014;5_AGGLO_PARIS;67.8
2014;ENSEMBLE;57.6
2015;1_RURAL;53.3
2015;2_PETITE_COM;53.1
2015;3_MOYENNE_COM;52.5
2015;4_GRANDE_COM;59.5
2015;5_AGGLO_PARIS;65.4
2015;ENSEMBLE;56.6
2016;1_RURAL;57.0
2016;2_PETITE_COM;57.1
2016;3_MOYENNE_COM;56.1
2016;4_GRANDE_COM;61.8
2016;5_AGGLO_PARIS;65.6
2016;ENSEMBLE;59.4
2017;1_RURAL;58.5
2017;2_PETITE_COM;58.3
2017;3_MOYENNE_COM;58.0
2017;4_GRANDE_COM;64.1
2017;5_AGGLO_PARIS;69.5
2017;ENSEMBLE;61.4
2018;1_RURAL;63.4
2018;2_PETITE_COM;60.8
2018;3_MOYENNE_COM;64.1
2018;4_GRANDE_COM;66.3
2018;5_AGGLO_PARIS;69.9
2018;ENSEMBLE;64.6
2019;1_RURAL;65.0
2019;2_PETITE_COM;64.4
2019;3_MOYENNE_COM;66.7
2019;4_GRANDE_COM;70.9
2019;5_AGGLO_PARIS;73.7
2019;ENSEMBLE;67.9
