ANNEE;TR_AG5;EQUIP_INT;HAUT_DEBIT
2009;1_TR_AGE_15-29;83.1;76.0
2009;2_TR_AGE_30-44;83.4;76.5
2009;3_TR_AGE_45-59;73.4;66.4
2009;4_TR_AGE_60-74;46.9;43.1
2009;5_TR_AGE_75;14.3;12.8
2009;ENSEMBLE;67.2;61.4
2010;1_TR_AGE_15-29;93.6;87.7
2010;2_TR_AGE_30-44;87.4;79.8
2010;3_TR_AGE_45-59;81.0;72.4
2010;4_TR_AGE_60-74;49.0;40.7
2010;5_TR_AGE_75;10.3;7.8
2010;ENSEMBLE;71.4;64.4
2011;1_TR_AGE_15-29;91.9;85.6
2011;2_TR_AGE_30-44;90.6;84.3
2011;3_TR_AGE_45-59;83.4;76.6
2011;4_TR_AGE_60-74;57.5;52.0
2011;5_TR_AGE_75;20.3;18.4
2011;ENSEMBLE;75.6;69.8
2012;1_TR_AGE_15-29;95.9;93.7
2012;2_TR_AGE_30-44;91.3;88.7
2012;3_TR_AGE_45-59;85.9;82.4
2012;4_TR_AGE_60-74;61.4;58.4
2012;5_TR_AGE_75;23.1;22.4
2012;ENSEMBLE;77.8;75.2
2013;1_TR_AGE_15-29;95.5;92.5
2013;2_TR_AGE_30-44;93.7;89.8
2013;3_TR_AGE_45-59;88.1;84.6
2013;4_TR_AGE_60-74;65.8;62.2
2013;5_TR_AGE_75;23.8;22.2
2013;ENSEMBLE;79.8;76.5
2014;1_TR_AGE_15-29;96.6;90.1
2014;2_TR_AGE_30-44;94.1;88.3
2014;3_TR_AGE_45-59;87.3;80.4
2014;4_TR_AGE_60-74;70.7;63.8
2014;5_TR_AGE_75;30.6;26.2
2014;ENSEMBLE;81.6;75.3
2015;1_TR_AGE_15-29;96.5;92.3
2015;2_TR_AGE_30-44;94.2;87.1
2015;3_TR_AGE_45-59;89.1;80.6
2015;4_TR_AGE_60-74;70.3;63.2
2015;5_TR_AGE_75;28.1;25.1
2015;ENSEMBLE;81.4;75.0
2016;1_TR_AGE_15-29;97.3;92.8
2016;2_TR_AGE_30-44;95.6;89.8
2016;3_TR_AGE_45-59;91.2;82.3
2016;4_TR_AGE_60-74;74.8;67.0
2016;5_TR_AGE_75;34.4;30.3
2016;ENSEMBLE;84.0;77.5
2017;1_TR_AGE_15-29;95.6;90.1
2017;2_TR_AGE_30-44;95.2;89.0
2017;3_TR_AGE_45-59;90.7;82.7
2017;4_TR_AGE_60-74;77.9;68.1
2017;5_TR_AGE_75;41.6;36.4
2017;ENSEMBLE;84.8;77.7
2018;1_TR_AGE_15-29;98.7;96.4
2018;2_TR_AGE_30-44;95.9;89.1
2018;3_TR_AGE_45-59;91.6;83.0
2018;4_TR_AGE_60-74;81.8;71.0
2018;5_TR_AGE_75;45.0;37.6
2018;ENSEMBLE;86.9;79.6
2019;1_TR_AGE_15-29;97.7;92.9
2019;2_TR_AGE_30-44;96.4;90.7
2019;3_TR_AGE_45-59;93.0;84.4
2019;4_TR_AGE_60-74;84.6;74.7
2019;5_TR_AGE_75;46.8;39.3
2019;ENSEMBLE;88.0;80.6
