ANNEE;SEX;EQUIP_INT;HAUT_DEBIT
2009;1_HOMME;69.6;63.6
2009;2_FEMME;65.1;59.4
2009;ENSEMBLE;67.2;61.4
2010;1_HOMME;75.5;68.2
2010;2_FEMME;67.7;60.9
2010;ENSEMBLE;71.4;64.4
2011;1_HOMME;78.5;73.8
2011;2_FEMME;73.0;66.2
2011;ENSEMBLE;75.6;69.8
2012;1_HOMME;81.0;78.0
2012;2_FEMME;75.0;72.6
2012;ENSEMBLE;77.8;75.2
2013;1_HOMME;82.8;79.3
2013;2_FEMME;77.2;74.0
2013;ENSEMBLE;79.8;76.5
2014;1_HOMME;84.2;77.6
2014;2_FEMME;79.2;73.3
2014;ENSEMBLE;81.6;75.3
2015;1_HOMME;83.5;76.3
2015;2_FEMME;79.5;73.9
2015;ENSEMBLE;81.4;75.0
2016;1_HOMME;85.6;78.9
2016;2_FEMME;82.6;76.1
2016;ENSEMBLE;84.0;77.5
2017;1_HOMME;86.1;78.0
2017;2_FEMME;83.7;77.4
2017;ENSEMBLE;84.8;77.7
2018;1_HOMME;88.4;80.4
2018;2_FEMME;85.6;78.9
2018;ENSEMBLE;86.9;79.6
2019;1_HOMME;89.1;81.8
2019;2_FEMME;86.9;79.6
2019;ENSEMBLE;88.0;80.6
