ANNEE;SEX;TR_AG3;EQUIP_INT;HAUT_DEBIT
2009;1_HOMME;1_TR_AGE_15-44;83.6;77.8
2009;1_HOMME;2_TR_AGE_45-59;73.3;64.0
2009;1_HOMME;3_TR_AGE_60;39.7;36.3
2009;1_HOMME;ENSEMBLE;69.6;63.6
2009;2_FEMME;1_TR_AGE_15-44;83.0;74.9
2009;2_FEMME;2_TR_AGE_45-59;73.6;68.6
2009;2_FEMME;3_TR_AGE_60;32.1;29.4
2009;2_FEMME;ENSEMBLE;65.1;59.4
2009;ENSEMBLE;1_TR_AGE_15-44;83.3;76.3
2009;ENSEMBLE;2_TR_AGE_45-59;73.4;66.4
2009;ENSEMBLE;3_TR_AGE_60;35.4;32.4
2009;ENSEMBLE;ENSEMBLE;67.2;61.4
2010;1_HOMME;1_TR_AGE_15-44;90.7;84.2
2010;1_HOMME;2_TR_AGE_45-59;83.7;74.9
2010;1_HOMME;3_TR_AGE_60;41.2;33.8
2010;1_HOMME;ENSEMBLE;75.5;68.2
2010;2_FEMME;1_TR_AGE_15-44;89.6;82.6
2010;2_FEMME;2_TR_AGE_45-59;78.4;69.9
2010;2_FEMME;3_TR_AGE_60;28.6;23.7
2010;2_FEMME;ENSEMBLE;67.7;60.9
2010;ENSEMBLE;1_TR_AGE_15-44;90.2;83.4
2010;ENSEMBLE;2_TR_AGE_45-59;81.0;72.4
2010;ENSEMBLE;3_TR_AGE_60;34.2;28.1
2010;ENSEMBLE;ENSEMBLE;71.4;64.4
2011;1_HOMME;1_TR_AGE_15-44;89.9;86.2
2011;1_HOMME;2_TR_AGE_45-59;84.2;77.3
2011;1_HOMME;3_TR_AGE_60;53.0;48.3
2011;1_HOMME;ENSEMBLE;78.5;73.8
2011;2_FEMME;1_TR_AGE_15-44;92.5;83.6
2011;2_FEMME;2_TR_AGE_45-59;82.6;75.9
2011;2_FEMME;3_TR_AGE_60;37.4;33.5
2011;2_FEMME;ENSEMBLE;73.0;66.2
2011;ENSEMBLE;1_TR_AGE_15-44;91.2;84.9
2011;ENSEMBLE;2_TR_AGE_45-59;83.4;76.6
2011;ENSEMBLE;3_TR_AGE_60;44.3;40.1
2011;ENSEMBLE;ENSEMBLE;75.6;69.8
2012;1_HOMME;1_TR_AGE_15-44;93.7;91.5
2012;1_HOMME;2_TR_AGE_45-59;86.1;82.1
2012;1_HOMME;3_TR_AGE_60;54.9;51.6
2012;1_HOMME;ENSEMBLE;81.0;78.0
2012;2_FEMME;1_TR_AGE_15-44;93.0;90.1
2012;2_FEMME;2_TR_AGE_45-59;85.6;82.8
2012;2_FEMME;3_TR_AGE_60;41.7;40.5
2012;2_FEMME;ENSEMBLE;75.0;72.6
2012;ENSEMBLE;1_TR_AGE_15-44;93.3;90.8
2012;ENSEMBLE;2_TR_AGE_45-59;85.9;82.4
2012;ENSEMBLE;3_TR_AGE_60;47.6;45.4
2012;ENSEMBLE;ENSEMBLE;77.8;75.2
2013;1_HOMME;1_TR_AGE_15-44;93.9;90.2
2013;1_HOMME;2_TR_AGE_45-59;88.5;85.6
2013;1_HOMME;3_TR_AGE_60;59.2;55.9
2013;1_HOMME;ENSEMBLE;82.8;79.3
2013;2_FEMME;1_TR_AGE_15-44;95.0;91.7
2013;2_FEMME;2_TR_AGE_45-59;87.6;83.7
2013;2_FEMME;3_TR_AGE_60;44.6;42.1
2013;2_FEMME;ENSEMBLE;77.2;74.0
2013;ENSEMBLE;1_TR_AGE_15-44;94.5;90.9
2013;ENSEMBLE;2_TR_AGE_45-59;88.1;84.6
2013;ENSEMBLE;3_TR_AGE_60;51.2;48.3
2013;ENSEMBLE;ENSEMBLE;79.8;76.5
2014;1_HOMME;1_TR_AGE_15-44;95.1;89.0
2014;1_HOMME;2_TR_AGE_45-59;86.4;79.2
2014;1_HOMME;3_TR_AGE_60;64.1;57.1
2014;1_HOMME;ENSEMBLE;84.2;77.6
2014;2_FEMME;1_TR_AGE_15-44;95.3;89.2
2014;2_FEMME;2_TR_AGE_45-59;88.2;81.6
2014;2_FEMME;3_TR_AGE_60;50.9;45.7
2014;2_FEMME;ENSEMBLE;79.2;73.3
2014;ENSEMBLE;1_TR_AGE_15-44;95.2;89.1
2014;ENSEMBLE;2_TR_AGE_45-59;87.3;80.4
2014;ENSEMBLE;3_TR_AGE_60;56.7;50.7
2014;ENSEMBLE;ENSEMBLE;81.6;75.3
2015;1_HOMME;1_TR_AGE_15-44;95.0;88.6
2015;1_HOMME;2_TR_AGE_45-59;89.0;80.5
2015;1_HOMME;3_TR_AGE_60;60.4;53.1
2015;1_HOMME;ENSEMBLE;83.5;76.3
2015;2_FEMME;1_TR_AGE_15-44;95.4;90.1
2015;2_FEMME;2_TR_AGE_45-59;89.1;80.8
2015;2_FEMME;3_TR_AGE_60;52.2;47.8
2015;2_FEMME;ENSEMBLE;79.5;73.9
2015;ENSEMBLE;1_TR_AGE_15-44;95.2;89.4
2015;ENSEMBLE;2_TR_AGE_45-59;89.1;80.6
2015;ENSEMBLE;3_TR_AGE_60;55.8;50.2
2015;ENSEMBLE;ENSEMBLE;81.4;75.0
2016;1_HOMME;1_TR_AGE_15-44;96.6;91.6
2016;1_HOMME;2_TR_AGE_45-59;90.2;81.5
2016;1_HOMME;3_TR_AGE_60;64.9;57.0
2016;1_HOMME;ENSEMBLE;85.6;78.9
2016;2_FEMME;1_TR_AGE_15-44;96.2;90.5
2016;2_FEMME;2_TR_AGE_45-59;92.2;83.1
2016;2_FEMME;3_TR_AGE_60;58.1;52.6
2016;2_FEMME;ENSEMBLE;82.6;76.1
2016;ENSEMBLE;1_TR_AGE_15-44;96.4;91.1
2016;ENSEMBLE;2_TR_AGE_45-59;91.2;82.3
2016;ENSEMBLE;3_TR_AGE_60;61.2;54.6
2016;ENSEMBLE;ENSEMBLE;84.0;77.5
2017;1_HOMME;1_TR_AGE_15-44;95.2;88.5
2017;1_HOMME;2_TR_AGE_45-59;89.9;81.4
2017;1_HOMME;3_TR_AGE_60;68.7;58.7
2017;1_HOMME;ENSEMBLE;86.1;78.0
2017;2_FEMME;1_TR_AGE_15-44;95.5;90.4
2017;2_FEMME;2_TR_AGE_45-59;91.6;84.0
2017;2_FEMME;3_TR_AGE_60;63.7;56.7
2017;2_FEMME;ENSEMBLE;83.7;77.4
2017;ENSEMBLE;1_TR_AGE_15-44;95.4;89.5
2017;ENSEMBLE;2_TR_AGE_45-59;90.7;82.7
2017;ENSEMBLE;3_TR_AGE_60;65.9;57.6
2017;ENSEMBLE;ENSEMBLE;84.8;77.7
2018;1_HOMME;1_TR_AGE_15-44;96.9;91.4
2018;1_HOMME;2_TR_AGE_45-59;89.4;80.4
2018;1_HOMME;3_TR_AGE_60;75.1;64.2
2018;1_HOMME;ENSEMBLE;88.4;80.4
2018;2_FEMME;1_TR_AGE_15-44;97.3;93.1
2018;2_FEMME;2_TR_AGE_45-59;93.6;85.5
2018;2_FEMME;3_TR_AGE_60;65.4;56.7
2018;2_FEMME;ENSEMBLE;85.6;78.9
2018;ENSEMBLE;1_TR_AGE_15-44;97.1;92.3
2018;ENSEMBLE;2_TR_AGE_45-59;91.6;83.0
2018;ENSEMBLE;3_TR_AGE_60;69.8;60.1
2018;ENSEMBLE;ENSEMBLE;86.9;79.6
2019;1_HOMME;1_TR_AGE_15-44;96.9;92.3
2019;1_HOMME;2_TR_AGE_45-59;92.7;83.7
2019;1_HOMME;3_TR_AGE_60;74.7;64.9
2019;1_HOMME;ENSEMBLE;89.1;81.8
2019;2_FEMME;1_TR_AGE_15-44;97.1;91.0
2019;2_FEMME;2_TR_AGE_45-59;93.2;85.0
2019;2_FEMME;3_TR_AGE_60;69.8;61.3
2019;2_FEMME;ENSEMBLE;86.9;79.6
2019;ENSEMBLE;1_TR_AGE_15-44;97.0;91.7
2019;ENSEMBLE;2_TR_AGE_45-59;93.0;84.4
2019;ENSEMBLE;3_TR_AGE_60;72.0;62.9
2019;ENSEMBLE;ENSEMBLE;88.0;80.6
