ANNEE;CS_AGREGE;EQUIP_INT;HAUT_DEBIT
2009;ACTIFS;81.8;74.4
2009;CS_1_2;79.1;70.9
2009;CS_3;92.6;88.2
2009;CS_4;88.5;80.2
2009;CS_5;77.1;70.0
2009;CS_6;74.5;66.0
2010;ACTIFS;86.1;78.1
2010;CS_1_2;84.5;75.0
2010;CS_3;97.1;94.6
2010;CS_4;90.7;83.4
2010;CS_5;83.7;76.2
2010;CS_6;76.9;63.9
2011;ACTIFS;88.8;83.1
2011;CS_1_2;87.2;80.0
2011;CS_3;95.9;93.3
2011;CS_4;92.4;87.4
2011;CS_5;88.4;81.5
2011;CS_6;80.2;73.5
2012;ACTIFS;91.3;88.4
2012;CS_1_2;85.5;80.8
2012;CS_3;97.6;95.6
2012;CS_4;95.0;92.4
2012;CS_5;89.1;85.7
2012;CS_6;87.4;84.7
2013;ACTIFS;92.8;89.3
2013;CS_1_2;89.8;86.8
2013;CS_3;97.8;95.7
2013;CS_4;97.3;94.1
2013;CS_5;90.1;86.4
2013;CS_6;88.3;83.2
2014;ACTIFS;93.5;86.7
2014;CS_1_2;92.7;83.7
2014;CS_3;98.0;93.7
2014;CS_4;97.1;91.4
2014;CS_5;90.0;84.4
2014;CS_6;90.0;79.1
2015;ACTIFS;93.9;87.2
2015;CS_1_2;90.2;80.5
2015;CS_3;98.0;94.5
2015;CS_4;97.3;91.9
2015;CS_5;93.0;85.2
2015;CS_6;89.0;80.9
2016;ACTIFS;94.8;88.2
2016;CS_1_2;94.8;87.3
2016;CS_3;98.5;94.8
2016;CS_4;96.8;89.8
2016;CS_5;92.8;86.0
2016;CS_6;91.7;83.9
2017;ACTIFS;95.1;88.5
2017;CS_1_2;93.8;84.4
2017;CS_3;98.7;97.1
2017;CS_4;97.0;90.2
2017;CS_5;94.0;87.4
2017;CS_6;91.1;81.7
2018;ACTIFS;95.5;88.4
2018;CS_1_2;94.9;81.6
2018;CS_3;99.2;95.5
2018;CS_4;97.3;92.6
2018;CS_5;94.3;87.3
2018;CS_6;91.8;81.6
2019;ACTIFS;96.5;89.7
2019;CS_1_2;96.2;83.3
2019;CS_3;99.0;96.2
2019;CS_4;98.5;93.5
2019;CS_5;95.8;89.0
2019;CS_6;92.8;82.3
