ANNEE1;TUU_AGREGE;EQUIP_INT;HAUT_DEBIT
2010;1_RURAL;64.0;54.1
2010;2_PETITE_COM;65.9;58.7
2010;3_MOYENNE_COM;70.0;65.8
2010;4_GRANDE_COM;77.5;72.2
2010;5_AGGLO_PARIS;82.7;74.9
2010;ENSEMBLE;71.4;64.4
2011;1_RURAL;73.3;65.2
2011;2_PETITE_COM;71.1;66.0
2011;3_MOYENNE_COM;72.6;67.2
2011;4_GRANDE_COM;78.6;74.4
2011;5_AGGLO_PARIS;83.9;77.3
2011;ENSEMBLE;75.6;69.8
2012;1_RURAL;75.0;70.5
2012;2_PETITE_COM;74.7;72.5
2012;3_MOYENNE_COM;75.1;73.1
2012;4_GRANDE_COM;80.1;78.2
2012;5_AGGLO_PARIS;85.3;83.3
2012;ENSEMBLE;77.8;75.2
2013;1_RURAL;78.5;73.5
2013;2_PETITE_COM;76.4;72.8
2013;3_MOYENNE_COM;76.8;73.4
2013;4_GRANDE_COM;81.7;79.4
2013;5_AGGLO_PARIS;86.3;84.3
2013;ENSEMBLE;79.8;76.5
2014;1_RURAL;80.4;71.3
2014;2_PETITE_COM;78.3;72.6
2014;3_MOYENNE_COM;79.9;73.7
2014;4_GRANDE_COM;82.1;77.1
2014;5_AGGLO_PARIS;88.3;83.4
2014;ENSEMBLE;81.6;75.3
2015;1_RURAL;80.4;70.3
2015;2_PETITE_COM;79.0;73.6
2015;3_MOYENNE_COM;79.3;73.3
2015;4_GRANDE_COM;82.7;77.6
2015;5_AGGLO_PARIS;86.2;81.4
2015;ENSEMBLE;81.4;75.0
2016;1_RURAL;82.7;72.4
2016;2_PETITE_COM;82.0;75.9
2016;3_MOYENNE_COM;82.0;75.6
2016;4_GRANDE_COM;85.0;80.3
2016;5_AGGLO_PARIS;89.1;84.5
2016;ENSEMBLE;84.0;77.5
2017;1_RURAL;83.7;72.2
2017;2_PETITE_COM;83.2;75.9
2017;3_MOYENNE_COM;82.8;75.8
2017;4_GRANDE_COM;85.6;80.9
2017;5_AGGLO_PARIS;89.7;85.2
2017;ENSEMBLE;84.8;77.7
2018;1_RURAL;86.1;74.8
2018;2_PETITE_COM;84.9;77.4
2018;3_MOYENNE_COM;85.2;78.9
2018;4_GRANDE_COM;88.2;82.6
2018;5_AGGLO_PARIS;90.5;85.8
2018;ENSEMBLE;86.9;79.6
2019;1_RURAL;87.6;74.1
2019;2_PETITE_COM;85.9;78.1
2019;3_MOYENNE_COM;86.2;80.5
2019;4_GRANDE_COM;88.6;84.3
2019;5_AGGLO_PARIS;91.8;88.2
2019;ENSEMBLE;88.0;80.6
