ANNEE;DIPLOME_4CATEG;TR_AG3;WEB_3MOIS;QUOTIDIEN;MOBILE
2009;1_CEP_AUCUN;1_TR_AGE_15-44;62.7;27.3;18.3
2009;1_CEP_AUCUN;2_TR_AGE_45-59;36.3;23.8;5.1
2009;1_CEP_AUCUN;3_TR_AGE_60;10.8;5.9;1.5
2009;1_CEP_AUCUN;ENSEMBLE;29.9;15.4;6.7
2009;2_BEP_CAP_BEPC;1_TR_AGE_15-44;81.7;54.3;19.2
2009;2_BEP_CAP_BEPC;2_TR_AGE_45-59;70.6;45.5;11.4
2009;2_BEP_CAP_BEPC;3_TR_AGE_60;35.3;22.2;2.8
2009;2_BEP_CAP_BEPC;ENSEMBLE;67.5;44.2;13.1
2009;3_BAC;1_TR_AGE_15-44;93.9;78.6;34.4
2009;3_BAC;2_TR_AGE_45-59;90.6;56.8;17.8
2009;3_BAC;3_TR_AGE_60;58.6;41.2;7.9
2009;3_BAC;ENSEMBLE;88.6;69.1;27.4
2009;4_ETUDE_SUP;1_TR_AGE_15-44;98.8;85.6;36.4
2009;4_ETUDE_SUP;2_TR_AGE_45-59;95.2;75.4;32.8
2009;4_ETUDE_SUP;3_TR_AGE_60;69.1;52.0;15.7
2009;4_ETUDE_SUP;ENSEMBLE;93.8;78.5;32.7
2009;ENSEMBLE;1_TR_AGE_15-44;86.2;64.2;27.4
2009;ENSEMBLE;2_TR_AGE_45-59;68.8;46.9;14.8
2009;ENSEMBLE;3_TR_AGE_60;27.1;17.8;3.8
2009;ENSEMBLE;ENSEMBLE;65.1;46.8;17.7
2010;1_CEP_AUCUN;1_TR_AGE_15-44;59.7;45.4;13.9
2010;1_CEP_AUCUN;2_TR_AGE_45-59;44.1;27.6;9.2
2010;1_CEP_AUCUN;3_TR_AGE_60;14.2;8.6;0.9
2010;1_CEP_AUCUN;ENSEMBLE;27.1;17.8;4.5
2010;2_BEP_CAP_BEPC;1_TR_AGE_15-44;91.2;70.5;42.8
2010;2_BEP_CAP_BEPC;2_TR_AGE_45-59;69.0;49.6;15.3
2010;2_BEP_CAP_BEPC;3_TR_AGE_60;41.0;27.8;8.2
2010;2_BEP_CAP_BEPC;ENSEMBLE;74.6;55.7;27.6
2010;3_BAC;1_TR_AGE_15-44;96.4;80.5;52.3
2010;3_BAC;2_TR_AGE_45-59;96.0;76.6;33.7
2010;3_BAC;3_TR_AGE_60;68.2;46.2;8.9
2010;3_BAC;ENSEMBLE;93.2;75.7;42.6
2010;4_ETUDE_SUP;1_TR_AGE_15-44;98.2;86.9;46.2
2010;4_ETUDE_SUP;2_TR_AGE_45-59;95.6;82.3;37.9
2010;4_ETUDE_SUP;3_TR_AGE_60;79.8;66.0;24.7
2010;4_ETUDE_SUP;ENSEMBLE;95.8;83.9;42.3
2010;ENSEMBLE;1_TR_AGE_15-44;91.9;76.0;43.6
2010;ENSEMBLE;2_TR_AGE_45-59;72.2;54.7;21.2
2010;ENSEMBLE;3_TR_AGE_60;28.0;19.1;4.6
2010;ENSEMBLE;ENSEMBLE;68.2;53.9;26.4
2011;1_CEP_AUCUN;1_TR_AGE_15-44;65.6;50.5;27.2
2011;1_CEP_AUCUN;2_TR_AGE_45-59;48.1;28.8;8.9
2011;1_CEP_AUCUN;3_TR_AGE_60;17.1;10.9;2.7
2011;1_CEP_AUCUN;ENSEMBLE;36.3;25.0;10.4
2011;2_BEP_CAP_BEPC;1_TR_AGE_15-44;92.6;70.9;39.2
2011;2_BEP_CAP_BEPC;2_TR_AGE_45-59;76.0;51.3;15.0
2011;2_BEP_CAP_BEPC;3_TR_AGE_60;45.5;31.5;7.1
2011;2_BEP_CAP_BEPC;ENSEMBLE;76.6;56.0;24.8
2011;3_BAC;1_TR_AGE_15-44;97.6;82.0;51.6
2011;3_BAC;2_TR_AGE_45-59;91.7;72.4;24.1
2011;3_BAC;3_TR_AGE_60;64.6;50.0;12.1
2011;3_BAC;ENSEMBLE;91.1;74.8;38.9
2011;4_ETUDE_SUP;1_TR_AGE_15-44;98.6;89.9;56.6
2011;4_ETUDE_SUP;2_TR_AGE_45-59;96.6;84.7;43.7
2011;4_ETUDE_SUP;3_TR_AGE_60;80.0;62.5;27.9
