ANNEE1;TUU_AGREGE;WEB_3MOIS;QUOTIDIEN;MOBILE
2010;1_RURAL;60.4;42.7;18.2
2010;2_PETITE_COM;62.0;46.3;21.0
2010;3_MOYENNE_COM;69.3;56.6;26.9
2010;4_GRANDE_COM;74.0;61.4;30.9
2010;5_AGGLO_PARIS;79.0;68.0;39.7
2010;ENSEMBLE;68.2;53.9;26.4
2011;1_RURAL;68.2;50.4;20.8
2011;2_PETITE_COM;66.8;50.0;22.4
2011;3_MOYENNE_COM;69.4;54.2;26.7
2011;4_GRANDE_COM;75.4;63.3;31.9
2011;5_AGGLO_PARIS;78.8;66.4;44.9
2011;ENSEMBLE;71.4;56.5;28.4
2012;1_RURAL;71.1;54.2;32.0
2012;2_PETITE_COM;71.3;55.3;34.1
2012;3_MOYENNE_COM;72.1;55.5;37.4
2012;4_GRANDE_COM;77.1;63.2;44.1
2012;5_AGGLO_PARIS;83.0;69.8;52.9
2012;ENSEMBLE;74.7;59.3;39.5
2013;1_RURAL;74.0;57.4;39.0
2013;2_PETITE_COM;71.7;56.8;42.5
2013;3_MOYENNE_COM;72.0;57.6;43.6
2013;4_GRANDE_COM;76.8;62.7;50.5
2013;5_AGGLO_PARIS;82.6;70.2;59.4
2013;ENSEMBLE;75.3;60.7;46.5
2014;1_RURAL;75.4;61.0;49.3
2014;2_PETITE_COM;73.2;57.2;47.2
2014;3_MOYENNE_COM;74.9;59.7;51.5
2014;4_GRANDE_COM;79.1;64.3;55.1
2014;5_AGGLO_PARIS;85.0;70.6;66.6
2014;ENSEMBLE;77.3;62.4;53.4
2015;1_RURAL;77.3;60.6;50.8
2015;2_PETITE_COM;75.7;59.9;52.9
2015;3_MOYENNE_COM;75.4;58.8;52.4
2015;4_GRANDE_COM;79.0;63.1;57.5
2015;5_AGGLO_PARIS;83.0;68.3;67.8
2015;ENSEMBLE;78.0;62.1;55.8
2016;1_RURAL;79.2;62.4;51.3
2016;2_PETITE_COM;76.4;61.1;50.7
2016;3_MOYENNE_COM;75.8;61.4;52.8
2016;4_GRANDE_COM;80.4;67.1;57.6
2016;5_AGGLO_PARIS;84.7;71.4;65.5
2016;ENSEMBLE;79.3;64.5;55.1
2017;1_RURAL;78.5;61.8;57.2
2017;2_PETITE_COM;79.6;62.4;58.7
2017;3_MOYENNE_COM;77.0;61.1;60.3
2017;4_GRANDE_COM;81.9;66.9;64.9
2017;5_AGGLO_PARIS;85.8;73.0;73.8
2017;ENSEMBLE;80.5;64.8;62.4
2018;1_RURAL;82.3;67.4;64.1
2018;2_PETITE_COM;79.8;65.5;63.2
2018;3_MOYENNE_COM;80.5;67.9;66.5
2018;4_GRANDE_COM;82.7;71.6;70.6
2018;5_AGGLO_PARIS;85.1;75.4;76.6
2018;ENSEMBLE;82.0;69.3;67.8
2019;1_RURAL;82.0;67.9;70.6
2019;2_PETITE_COM;81.2;68.5;72.6
2019;3_MOYENNE_COM;82.3;69.5;73.7
2019;4_GRANDE_COM;84.7;74.3;77.4
2019;5_AGGLO_PARIS;87.0;77.5;81.9
2019;ENSEMBLE;83.3;71.4;75.0
