ANNEE;SEX;EGOV_12MOIS
2009;1_HOMME;44.1
2009;2_FEMME;40.9
2009;ENSEMBLE;42.4
2010;1_HOMME;53.5
2010;2_FEMME;48.4
2010;ENSEMBLE;50.8
2011;1_HOMME;53.7
2011;2_FEMME;48.9
2011;ENSEMBLE;51.2
2012;1_HOMME;57.7
2012;2_FEMME;52.8
2012;ENSEMBLE;55.2
2013;1_HOMME;56.4
2013;2_FEMME;52.3
2013;ENSEMBLE;54.3
2014;1_HOMME;59.3
2014;2_FEMME;56.0
2014;ENSEMBLE;57.6
2015;1_HOMME;58.2
2015;2_FEMME;55.2
2015;ENSEMBLE;56.6
2016;1_HOMME;59.2
2016;2_FEMME;59.6
2016;ENSEMBLE;59.4
2017;1_HOMME;61.1
2017;2_FEMME;61.7
2017;ENSEMBLE;61.4
2018;1_HOMME;65.9
2018;2_FEMME;63.5
2018;ENSEMBLE;64.6
2019;1_HOMME;67.5
2019;2_FEMME;68.3
2019;ENSEMBLE;67.9
