ANNEE;SEX;TR_AG3;EGOV_12MOIS
2009;1_HOMME;1_TR_AGE_15-44;53.9
2009;1_HOMME;2_TR_AGE_45-59;50.9
2009;1_HOMME;3_TR_AGE_60;19.3
2009;1_HOMME;ENSEMBLE;44.1
2009;2_FEMME;1_TR_AGE_15-44;55.2
2009;2_FEMME;2_TR_AGE_45-59;47.9
2009;2_FEMME;3_TR_AGE_60;14.2
2009;2_FEMME;ENSEMBLE;40.9
2009;ENSEMBLE;1_TR_AGE_15-44;54.6
2009;ENSEMBLE;2_TR_AGE_45-59;49.3
2009;ENSEMBLE;3_TR_AGE_60;16.4
2009;ENSEMBLE;ENSEMBLE;42.4
2010;1_HOMME;1_TR_AGE_15-44;68.7
2010;1_HOMME;2_TR_AGE_45-59;56.8
2010;1_HOMME;3_TR_AGE_60;23.8
2010;1_HOMME;ENSEMBLE;53.5
2010;2_FEMME;1_TR_AGE_15-44;69.4
2010;2_FEMME;2_TR_AGE_45-59;55.6
2010;2_FEMME;3_TR_AGE_60;13.3
2010;2_FEMME;ENSEMBLE;48.4
2010;ENSEMBLE;1_TR_AGE_15-44;69.1
2010;ENSEMBLE;2_TR_AGE_45-59;56.2
2010;ENSEMBLE;3_TR_AGE_60;17.9
2010;ENSEMBLE;ENSEMBLE;50.8
2011;1_HOMME;1_TR_AGE_15-44;65.4
2011;1_HOMME;2_TR_AGE_45-59;55.8
2011;1_HOMME;3_TR_AGE_60;30.7
2011;1_HOMME;ENSEMBLE;53.7
2011;2_FEMME;1_TR_AGE_15-44;66.9
2011;2_FEMME;2_TR_AGE_45-59;56.8
2011;2_FEMME;3_TR_AGE_60;16.8
2011;2_FEMME;ENSEMBLE;48.9
2011;ENSEMBLE;1_TR_AGE_15-44;66.2
2011;ENSEMBLE;2_TR_AGE_45-59;56.3
2011;ENSEMBLE;3_TR_AGE_60;23.0
2011;ENSEMBLE;ENSEMBLE;51.2
2012;1_HOMME;1_TR_AGE_15-44;69.5
2012;1_HOMME;2_TR_AGE_45-59;61.9
2012;1_HOMME;3_TR_AGE_60;34.2
2012;1_HOMME;ENSEMBLE;57.7
2012;2_FEMME;1_TR_AGE_15-44;70.7
2012;2_FEMME;2_TR_AGE_45-59;62.7
2012;2_FEMME;3_TR_AGE_60;20.3
2012;2_FEMME;ENSEMBLE;52.8
2012;ENSEMBLE;1_TR_AGE_15-44;70.1
2012;ENSEMBLE;2_TR_AGE_45-59;62.3
2012;ENSEMBLE;3_TR_AGE_60;26.5
2012;ENSEMBLE;ENSEMBLE;55.2
2013;1_HOMME;1_TR_AGE_15-44;68.5
2013;1_HOMME;2_TR_AGE_45-59;61.1
2013;1_HOMME;3_TR_AGE_60;32.1
2013;1_HOMME;ENSEMBLE;56.4
2013;2_FEMME;1_TR_AGE_15-44;71.2
2013;2_FEMME;2_TR_AGE_45-59;58.9
2013;2_FEMME;3_TR_AGE_60;21.2
2013;2_FEMME;ENSEMBLE;52.3
2013;ENSEMBLE;1_TR_AGE_15-44;69.9
2013;ENSEMBLE;2_TR_AGE_45-59;60.0
2013;ENSEMBLE;3_TR_AGE_60;26.1
2013;ENSEMBLE;ENSEMBLE;54.3
2014;1_HOMME;1_TR_AGE_15-44;69.7
2014;1_HOMME;2_TR_AGE_45-59;63.2
2014;1_HOMME;3_TR_AGE_60;38.6
2014;1_HOMME;ENSEMBLE;59.3
2014;2_FEMME;1_TR_AGE_15-44;76.2
2014;2_FEMME;2_TR_AGE_45-59;62.1
2014;2_FEMME;3_TR_AGE_60;24.2
2014;2_FEMME;ENSEMBLE;56.0
2014;ENSEMBLE;1_TR_AGE_15-44;73.0
2014;ENSEMBLE;2_TR_AGE_45-59;62.6
2014;ENSEMBLE;3_TR_AGE_60;30.6
2014;ENSEMBLE;ENSEMBLE;57.6
2015;1_HOMME;1_TR_AGE_15-44;70.7
2015;1_HOMME;2_TR_AGE_45-59;62.9
2015;1_HOMME;3_TR_AGE_60;34.4
2015;1_HOMME;ENSEMBLE;58.2
2015;2_FEMME;1_TR_AGE_15-44;74.6
2015;2_FEMME;2_TR_AGE_45-59;63.1
