ANNEE;CS_AGREGE;EGOV_12MOIS
2009;ACTIFS;57.1
2009;CS_1_2;44.7
2009;CS_3;83.7
2009;CS_4;71.3
2009;CS_5;48.8
2009;CS_6;39.5
2010;ACTIFS;67.6
2010;CS_1_2;58.7
2010;CS_3;89.4
2010;CS_4;78.5
2010;CS_5;61.0
2010;CS_6;49.8
2011;ACTIFS;66.8
2011;CS_1_2;54.6
2011;CS_3;87.4
2011;CS_4;77.2
2011;CS_5;63.7
2011;CS_6;48.3
2012;ACTIFS;72.1
2012;CS_1_2;58.4
2012;CS_3;90.8
2012;CS_4;84.6
2012;CS_5;66.2
2012;CS_6;56.0
2013;ACTIFS;68.3
2013;CS_1_2;56.5
2013;CS_3;87.5
2013;CS_4;79.2
2013;CS_5;63.8
2013;CS_6;50.5
2014;ACTIFS;73.3
2014;CS_1_2;64.7
2014;CS_3;90.3
2014;CS_4;85.7
2014;CS_5;67.6
2014;CS_6;54.2
2015;ACTIFS;71.6
2015;CS_1_2;61.9
2015;CS_3;89.3
2015;CS_4;80.2
2015;CS_5;67.8
2015;CS_6;55.4
2016;ACTIFS;75.6
2016;CS_1_2;66.9
2016;CS_3;90.1
2016;CS_4;82.6
2016;CS_5;73.3
2016;CS_6;61.9
2017;ACTIFS;77.9
2017;CS_1_2;67.4
2017;CS_3;93.0
2017;CS_4;86.9
2017;CS_5;75.6
2017;CS_6;61.1
2018;ACTIFS;79.4
2018;CS_1_2;67.0
2018;CS_3;92.5
2018;CS_4;86.4
2018;CS_5;77.4
2018;CS_6;67.7
2019;ACTIFS;83.8
2019;CS_1_2;75.0
2019;CS_3;93.9
2019;CS_4;89.7
2019;CS_5;82.9
2019;CS_6;72.1
