ANNEE1;TAU_AGREGE;EQUIP_INT;HAUT_DEBIT
2010;1_HORS_AU;59.2;49.9
2010;2_AU_PETITE;62.0;55.2
2010;3_AU_MOYENNE;66.5;60.1
2010;4_AU_GRANDE;75.8;69.5
2010;5_AU_PARIS;83.2;75.8
2010;ENSEMBLE;71.4;64.4
2011;1_HORS_AU;68.7;62.2
2011;2_AU_PETITE;68.3;60.3
2011;3_AU_MOYENNE;72.9;67.9
2011;4_AU_GRANDE;77.6;73.1
2011;5_AU_PARIS;84.3;77.3
2011;ENSEMBLE;75.6;69.8
2012;1_HORS_AU;70.8;67.4
2012;2_AU_PETITE;72.7;69.5
2012;3_AU_MOYENNE;75.4;72.6
2012;4_AU_GRANDE;79.9;77.7
2012;5_AU_PARIS;84.4;82.2
2012;ENSEMBLE;77.8;75.2
2013;1_HORS_AU;75.6;70.6
2013;2_AU_PETITE;73.2;70.7
2013;3_AU_MOYENNE;75.7;72.2
2013;4_AU_GRANDE;82.0;78.7
2013;5_AU_PARIS;86.4;84.0
2013;ENSEMBLE;79.8;76.5
2014;1_HORS_AU;74.3;66.3
2014;2_AU_PETITE;74.7;68.2
2014;3_AU_MOYENNE;79.2;72.4
2014;4_AU_GRANDE;83.9;78.2
2014;5_AU_PARIS;88.7;83.4
2014;ENSEMBLE;81.6;75.3
2015;1_HORS_AU;75.9;67.4
2015;2_AU_PETITE;76.1;69.4
2015;3_AU_MOYENNE;79.7;72.5
2015;4_AU_GRANDE;83.2;77.4
2015;5_AU_PARIS;86.8;81.7
2015;ENSEMBLE;81.4;75.0
2016;1_HORS_AU;79.6;70.5
2016;2_AU_PETITE;81.4;75.2
2016;3_AU_MOYENNE;81.5;73.4
2016;4_AU_GRANDE;85.2;79.7
2016;5_AU_PARIS;88.7;83.3
2016;ENSEMBLE;84.0;77.5
2017;1_HORS_AU;81.6;71.9
2017;2_AU_PETITE;79.2;70.1
2017;3_AU_MOYENNE;83.4;75.2
2017;4_AU_GRANDE;85.9;79.6
2017;5_AU_PARIS;89.9;84.9
2017;ENSEMBLE;84.8;77.7
2018;1_HORS_AU;83.3;72.0
2018;2_AU_PETITE;83.5;76.7
2018;3_AU_MOYENNE;84.5;76.6
2018;4_AU_GRANDE;88.4;81.8
2018;5_AU_PARIS;90.8;85.6
2018;ENSEMBLE;86.9;79.6
2019;1_HORS_AU;85.3;72.7
2019;2_AU_PETITE;83.9;74.9
2019;3_AU_MOYENNE;86.3;78.0
2019;4_AU_GRANDE;89.0;82.8
2019;5_AU_PARIS;91.6;87.8
2019;ENSEMBLE;88.0;80.6
