ANNEE;SEX;WEB_3MOIS;QUOTIDIEN;MOBILE
2009;1_HOMME;67.8;50.4;22.4
2009;2_FEMME;62.7;43.5;13.3
2009;ENSEMBLE;65.1;46.8;17.7
2010;1_HOMME;70.2;57.6;31.1
2010;2_FEMME;66.3;50.6;22.2
2010;ENSEMBLE;68.2;53.9;26.4
2011;1_HOMME;74.4;60.2;32.9
2011;2_FEMME;68.7;53.0;24.3
2011;ENSEMBLE;71.4;56.5;28.4
2012;1_HOMME;77.5;63.1;44.7
2012;2_FEMME;72.1;55.9;34.7
2012;ENSEMBLE;74.7;59.3;39.5
2013;1_HOMME;78.9;65.1;51.9
2013;2_FEMME;72.0;56.6;41.7
2013;ENSEMBLE;75.3;60.7;46.5
2014;1_HOMME;80.4;65.7;56.7
2014;2_FEMME;74.5;59.3;50.4
2014;ENSEMBLE;77.3;62.4;53.4
2015;1_HOMME;80.3;64.4;59.2
2015;2_FEMME;75.9;59.9;52.7
2015;ENSEMBLE;78.0;62.1;55.8
2016;1_HOMME;80.8;66.4;56.3
2016;2_FEMME;77.8;62.9;54.0
2016;ENSEMBLE;79.3;64.5;55.1
2017;1_HOMME;82.2;66.8;64.8
2017;2_FEMME;79.0;63.0;60.2
2017;ENSEMBLE;80.5;64.8;62.4
2018;1_HOMME;83.8;71.8;70.5
2018;2_FEMME;80.4;67.1;65.3
2018;ENSEMBLE;82.0;69.3;67.8
2019;1_HOMME;84.6;73.2;77.2
2019;2_FEMME;82.2;69.7;72.9
2019;ENSEMBLE;83.3;71.4;75.0
