ANNEE;SEX;TR_AG3;WEB_3MOIS;QUOTIDIEN;MOBILE
2009;1_HOMME;1_TR_AGE_15-44;87.4;66.3;33.3
2009;1_HOMME;2_TR_AGE_45-59;68.2;48.6;18.5
2009;1_HOMME;3_TR_AGE_60;30.5;22.1;5.4
2009;1_HOMME;ENSEMBLE;67.8;50.4;22.4
2009;2_FEMME;1_TR_AGE_15-44;85.0;62.1;21.6
2009;2_FEMME;2_TR_AGE_45-59;69.4;45.4;11.1
2009;2_FEMME;3_TR_AGE_60;24.4;14.4;2.7
2009;2_FEMME;ENSEMBLE;62.7;43.5;13.3
2009;ENSEMBLE;1_TR_AGE_15-44;86.2;64.2;27.4
2009;ENSEMBLE;2_TR_AGE_45-59;68.8;46.9;14.8
2009;ENSEMBLE;3_TR_AGE_60;27.1;17.8;3.8
2009;ENSEMBLE;ENSEMBLE;65.1;46.8;17.7
2010;1_HOMME;1_TR_AGE_15-44;89.6;75.9;47.2
2010;1_HOMME;2_TR_AGE_45-59;73.2;58.4;26.6
2010;1_HOMME;3_TR_AGE_60;33.7;25.1;7.5
2010;1_HOMME;ENSEMBLE;70.2;57.6;31.1
2010;2_FEMME;1_TR_AGE_15-44;94.2;76.2;40.1
2010;2_FEMME;2_TR_AGE_45-59;71.3;51.2;15.9
2010;2_FEMME;3_TR_AGE_60;23.5;14.5;2.5
2010;2_FEMME;ENSEMBLE;66.3;50.6;22.2
2010;ENSEMBLE;1_TR_AGE_15-44;91.9;76.0;43.6
2010;ENSEMBLE;2_TR_AGE_45-59;72.2;54.7;21.2
2010;ENSEMBLE;3_TR_AGE_60;28.0;19.1;4.6
2010;ENSEMBLE;ENSEMBLE;68.2;53.9;26.4
2011;1_HOMME;1_TR_AGE_15-44;91.0;76.9;49.1
2011;1_HOMME;2_TR_AGE_45-59;74.1;56.0;23.9
2011;1_HOMME;3_TR_AGE_60;44.8;34.1;11.9
2011;1_HOMME;ENSEMBLE;74.4;60.2;32.9
2011;2_FEMME;1_TR_AGE_15-44;91.1;74.3;41.1
2011;2_FEMME;2_TR_AGE_45-59;77.6;56.4;18.4
2011;2_FEMME;3_TR_AGE_60;29.5;19.4;4.4
2011;2_FEMME;ENSEMBLE;68.7;53.0;24.3
2011;ENSEMBLE;1_TR_AGE_15-44;91.0;75.6;45.1
2011;ENSEMBLE;2_TR_AGE_45-59;75.9;56.2;21.1
2011;ENSEMBLE;3_TR_AGE_60;36.3;25.9;7.7
2011;ENSEMBLE;ENSEMBLE;71.4;56.5;28.4
2012;1_HOMME;1_TR_AGE_15-44;94.1;79.8;66.0
2012;1_HOMME;2_TR_AGE_45-59;81.9;64.0;36.0
2012;1_HOMME;3_TR_AGE_60;45.3;33.9;15.6
2012;1_HOMME;ENSEMBLE;77.5;63.1;44.7
2012;2_FEMME;1_TR_AGE_15-44;94.5;76.7;55.9
2012;2_FEMME;2_TR_AGE_45-59;81.2;59.7;30.2
2012;2_FEMME;3_TR_AGE_60;33.9;23.6;8.1
2012;2_FEMME;ENSEMBLE;72.1;55.9;34.7
2012;ENSEMBLE;1_TR_AGE_15-44;94.3;78.3;60.9
2012;ENSEMBLE;2_TR_AGE_45-59;81.6;61.8;33.0
2012;ENSEMBLE;3_TR_AGE_60;39.0;28.2;11.5
2012;ENSEMBLE;ENSEMBLE;74.7;59.3;39.5
2013;1_HOMME;1_TR_AGE_15-44;94.2;81.2;71.8
2013;1_HOMME;2_TR_AGE_45-59;83.8;66.5;48.8
2013;1_HOMME;3_TR_AGE_60;49.1;37.0;20.9
2013;1_HOMME;ENSEMBLE;78.9;65.1;51.9
2013;2_FEMME;1_TR_AGE_15-44;93.9;78.8;66.4
2013;2_FEMME;2_TR_AGE_45-59;79.8;57.5;33.9
2013;2_FEMME;3_TR_AGE_60;35.7;24.7;12.7
2013;2_FEMME;ENSEMBLE;72.0;56.6;41.7
2013;ENSEMBLE;1_TR_AGE_15-44;94.0;80.0;69.1
2013;ENSEMBLE;2_TR_AGE_45-59;81.7;61.8;41.1
2013;ENSEMBLE;3_TR_AGE_60;41.8;30.3;16.4
2013;ENSEMBLE;ENSEMBLE;75.3;60.7;46.5
2014;1_HOMME;1_TR_AGE_15-44;94.7;81.0;78.0
2014;1_HOMME;2_TR_AGE_45-59;81.9;63.4;51.3
2014;1_HOMME;3_TR_AGE_60;55.1;42.1;25.7
2014;1_HOMME;ENSEMBLE;80.4;65.7;56.7
2014;2_FEMME;1_TR_AGE_15-44;95.3;81.0;78.0
2014;2_FEMME;2_TR_AGE_45-59;82.7;60.8;43.6
2014;2_FEMME;3_TR_AGE_60;40.4;28.7;17.5
2014;2_FEMME;ENSEMBLE;74.5;59.3;50.4
2014;ENSEMBLE;1_TR_AGE_15-44;95.0;81.0;78.0
2014;ENSEMBLE;2_TR_AGE_45-59;82.3;62.1;47.4
2014;ENSEMBLE;3_TR_AGE_60;46.9;34.6;21.1
2014;ENSEMBLE;ENSEMBLE;77.3;62.4;53.4
2015;1_HOMME;1_TR_AGE_15-44;95.2;80.2;81.8
2015;1_HOMME;2_TR_AGE_45-59;86.6;66.0;56.1
2015;1_HOMME;3_TR_AGE_60;51.2;37.9;25.5
2015;1_HOMME;ENSEMBLE;80.3;64.4;59.2
2015;2_FEMME;1_TR_AGE_15-44;95.0;80.9;79.9
2015;2_FEMME;2_TR_AGE_45-59;86.2;63.8;49.1
2015;2_FEMME;3_TR_AGE_60;43.8;29.5;19.4
2015;2_FEMME;ENSEMBLE;75.9;59.9;52.7
2015;ENSEMBLE;1_TR_AGE_15-44;95.1;80.5;80.8
2015;ENSEMBLE;2_TR_AGE_45-59;86.4;64.9;52.5
2015;ENSEMBLE;3_TR_AGE_60;47.1;33.3;22.2
2015;ENSEMBLE;ENSEMBLE;78.0;62.1;55.8
2016;1_HOMME;1_TR_AGE_15-44;96.0;84.6;79.4
2016;1_HOMME;2_TR_AGE_45-59;85.3;66.7;52.3
2016;1_HOMME;3_TR_AGE_60;53.7;37.8;23.5
2016;1_HOMME;ENSEMBLE;80.8;66.4;56.3
2016;2_FEMME;1_TR_AGE_15-44;95.8;85.9;80.2
2016;2_FEMME;2_TR_AGE_45-59;86.3;63.5;52.5
2016;2_FEMME;3_TR_AGE_60;48.5;32.3;21.0
2016;2_FEMME;ENSEMBLE;77.8;62.9;54.0
2016;ENSEMBLE;1_TR_AGE_15-44;95.9;85.3;79.8
2016;ENSEMBLE;2_TR_AGE_45-59;85.8;65.0;52.4
2016;ENSEMBLE;3_TR_AGE_60;50.8;34.8;22.1
2016;ENSEMBLE;ENSEMBLE;79.3;64.5;55.1
2017;1_HOMME;1_TR_AGE_15-44;96.3;83.1;86.0
2017;1_HOMME;2_TR_AGE_45-59;87.2;68.4;64.9
2017;1_HOMME;3_TR_AGE_60;56.0;40.2;31.8
2017;1_HOMME;ENSEMBLE;82.2;66.8;64.8
2017;2_FEMME;1_TR_AGE_15-44;95.9;82.9;85.7
2017;2_FEMME;2_TR_AGE_45-59;90.6;68.9;64.9
2017;2_FEMME;3_TR_AGE_60;50.0;34.0;25.0
2017;2_FEMME;ENSEMBLE;79.0;63.0;60.2
2017;ENSEMBLE;1_TR_AGE_15-44;96.1;83.0;85.8
2017;ENSEMBLE;2_TR_AGE_45-59;88.9;68.7;64.9
2017;ENSEMBLE;3_TR_AGE_60;52.6;36.7;28.0
2017;ENSEMBLE;ENSEMBLE;80.5;64.8;62.4
2018;1_HOMME;1_TR_AGE_15-44;96.4;89.6;88.7
2018;1_HOMME;2_TR_AGE_45-59;88.1;71.9;73.4
2018;1_HOMME;3_TR_AGE_60;62.1;45.6;41.7
2018;1_HOMME;ENSEMBLE;83.8;71.8;70.5
2018;2_FEMME;1_TR_AGE_15-44;96.6;90.1;90.4
2018;2_FEMME;2_TR_AGE_45-59;90.7;71.5;69.3
2018;2_FEMME;3_TR_AGE_60;53.1;35.2;30.9
2018;2_FEMME;ENSEMBLE;80.4;67.1;65.3
2018;ENSEMBLE;1_TR_AGE_15-44;96.5;89.8;89.6
2018;ENSEMBLE;2_TR_AGE_45-59;89.5;71.7;71.3
2018;ENSEMBLE;3_TR_AGE_60;57.2;40.0;35.8
2018;ENSEMBLE;ENSEMBLE;82.0;69.3;67.8
2019;1_HOMME;1_TR_AGE_15-44;96.8;90.3;94.4
2019;1_HOMME;2_TR_AGE_45-59;88.8;74.1;79.9
2019;1_HOMME;3_TR_AGE_60;63.3;47.3;49.8
2019;1_HOMME;ENSEMBLE;84.6;73.2;77.2
2019;2_FEMME;1_TR_AGE_15-44;96.7;90.5;93.3
2019;2_FEMME;2_TR_AGE_45-59;91.9;75.0;80.0
2019;2_FEMME;3_TR_AGE_60;57.0;39.7;42.2
2019;2_FEMME;ENSEMBLE;82.2;69.7;72.9
2019;ENSEMBLE;1_TR_AGE_15-44;96.7;90.4;93.8
