ANNEE;DIPLOME_4CATEG;WEB_3MOIS;QUOTIDIEN;MOBILE
2009;1_CEP_AUCUN;29.9;15.4;6.7
2009;2_BEP_CAP_BEPC;67.5;44.2;13.1
2009;3_BAC;88.6;69.1;27.4
2009;4_ETUDE_SUP;93.8;78.5;32.7
2009;ENSEMBLE;65.1;46.8;17.7
2010;1_CEP_AUCUN;27.1;17.8;4.5
2010;2_BEP_CAP_BEPC;74.6;55.7;27.6
2010;3_BAC;93.2;75.7;42.6
2010;4_ETUDE_SUP;95.8;83.9;42.3
2010;ENSEMBLE;68.2;53.9;26.4
2011;1_CEP_AUCUN;36.3;25.0;10.4
2011;2_BEP_CAP_BEPC;76.6;56.0;24.8
2011;3_BAC;91.1;74.8;38.9
2011;4_ETUDE_SUP;95.2;84.4;49.2
2011;ENSEMBLE;71.4;56.5;28.4
2012;1_CEP_AUCUN;43.1;28.1;16.2
2012;2_BEP_CAP_BEPC;79.2;59.7;38.7
2012;3_BAC;91.4;75.9;50.7
2012;4_ETUDE_SUP;96.6;86.8;62.1
2012;ENSEMBLE;74.7;59.3;39.5
2013;1_CEP_AUCUN;44.3;29.5;21.1
2013;2_BEP_CAP_BEPC;78.7;59.6;43.6
2013;3_BAC;91.5;77.7;59.7
2013;4_ETUDE_SUP;95.4;86.2;70.7
2013;ENSEMBLE;75.3;60.7;46.5
2014;1_CEP_AUCUN;45.7;30.9;23.8
2014;2_BEP_CAP_BEPC;80.1;60.5;50.8
2014;3_BAC;92.5;76.6;69.3
2014;4_ETUDE_SUP;96.8;88.1;76.7
2014;ENSEMBLE;77.3;62.4;53.4
2015;1_CEP_AUCUN;46.0;29.1;25.2
2015;2_BEP_CAP_BEPC;80.0;60.1;52.8
2015;3_BAC;93.0;78.0;72.0
2015;4_ETUDE_SUP;96.2;85.2;77.8
2015;ENSEMBLE;78.0;62.1;55.8
2016;1_CEP_AUCUN;47.8;31.5;25.1
2016;2_BEP_CAP_BEPC;81.3;61.9;50.8
2016;3_BAC;92.6;81.2;69.8
2016;4_ETUDE_SUP;96.8;86.7;77.8
2016;ENSEMBLE;79.3;64.5;55.1
2017;1_CEP_AUCUN;50.2;32.5;31.3
2017;2_BEP_CAP_BEPC;81.8;62.1;58.9
2017;3_BAC;94.6;79.4;78.5
2017;4_ETUDE_SUP;96.1;86.4;82.9
2017;ENSEMBLE;80.5;64.8;62.4
2018;1_CEP_AUCUN;55.0;39.5;39.7
2018;2_BEP_CAP_BEPC;83.3;65.6;65.2
2018;3_BAC;93.7;82.6;80.1
2018;4_ETUDE_SUP;95.8;89.9;86.2
2018;ENSEMBLE;82.0;69.3;67.8
2019;1_CEP_AUCUN;56.6;40.3;47.4
2019;2_BEP_CAP_BEPC;84.0;69.3;73.1
2019;3_BAC;94.5;84.2;87.3
2019;4_ETUDE_SUP;96.5;89.7;90.6
2019;ENSEMBLE;83.3;71.4;75.0
