ANNEE;CS_AGREGE;WEB_3MOIS;QUOTIDIEN;MOBILE
2009;ACTIFS;81.4;58.7;21.2
2009;CS_1_2;70.5;49.7;16.7
2009;CS_3;97.8;87.9;41.8
2009;CS_4;94.7;72.6;27.3
2009;CS_5;76.5;50.0;14.4
2009;CS_6;67.3;39.2;11.3
2010;ACTIFS;83.9;67.7;32.4
2010;CS_1_2;79.0;58.0;33.9
2010;CS_3;97.7;90.0;51.0
2010;CS_4;95.8;80.9;38.5
2010;CS_5;80.0;60.5;25.0
2010;CS_6;68.3;51.0;21.5
2011;ACTIFS;86.7;69.5;36.6
2011;CS_1_2;79.7;59.7;32.3
2011;CS_3;98.6;90.5;60.0
2011;CS_4;95.3;80.6;40.1
2011;CS_5;84.6;64.7;29.7
2011;CS_6;73.7;51.2;25.0
2012;ACTIFS;90.3;72.4;49.5
2012;CS_1_2;79.8;61.3;43.8
2012;CS_3;99.1;91.3;70.6
2012;CS_4;97.2;84.0;56.1
2012;CS_5;87.8;63.9;38.9
2012;CS_6;83.1;59.6;41.0
2013;ACTIFS;90.5;74.1;58.7
2013;CS_1_2;82.8;69.1;52.7
2013;CS_3;98.8;93.7;78.8
2013;CS_4;97.1;84.1;65.8
2013;CS_5;87.5;66.4;50.6
2013;CS_6;83.1;57.9;46.5
2014;ACTIFS;92.2;75.8;68.0
2014;CS_1_2;86.4;68.0;60.9
2014;CS_3;98.2;92.3;84.7
2014;CS_4;98.4;84.9;77.2
2014;CS_5;89.1;71.5;58.9
2014;CS_6;86.1;59.2;57.4
2015;ACTIFS;92.6;75.1;70.8
2015;CS_1_2;89.8;71.1;62.2
2015;CS_3;98.5;90.5;86.4
2015;CS_4;98.1;83.3;78.4
2015;CS_5;90.6;71.0;65.5
2015;CS_6;84.5;58.7;58.8
2016;ACTIFS;92.4;77.6;69.9
2016;CS_1_2;90.3;75.0;61.6
2016;CS_3;99.4;92.9;88.1
2016;CS_4;96.5;83.6;74.0
2016;CS_5;89.5;73.4;64.4
2016;CS_6;86.2;63.8;60.3
2017;ACTIFS;94.6;78.6;79.9
2017;CS_1_2;91.8;73.9;73.0
2017;CS_3;99.2;93.1;92.1
2017;CS_4;97.8;85.7;85.9
2017;CS_5;93.0;76.0;76.5
2017;CS_6;89.6;62.3;68.8
2018;ACTIFS;94.2;82.8;83.1
2018;CS_1_2;94.3;79.8;80.9
2018;CS_3;98.2;94.9;93.5
2018;CS_4;96.8;88.5;88.1
2018;CS_5;92.9;77.7;78.9
2018;CS_6;88.7;73.1;74.0
2019;ACTIFS;95.6;85.1;89.4
2019;CS_1_2;92.2;80.5;85.0
2019;CS_3;98.1;95.1;95.2
2019;CS_4;97.9;90.4;93.1
2019;CS_5;95.7;81.7;86.8
2019;CS_6;91.9;76.9;85.0
